Gene,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
group_12133,1,1,1,1,1,1,1,1
group_12127,1,1,1,1,1,1,1,1
group_12126,1,1,1,1,1,1,1,1
group_12121,1,1,1,1,1,1,1,1
group_12118,1,1,1,1,1,1,1,1
xcpS,1,1,1,1,1,1,1,1
djlA,1,1,1,1,1,1,1,1
cioB,1,1,1,1,1,1,1,1
cbrA,1,1,1,1,1,1,1,1
group_12112,1,1,1,1,1,1,1,1
group_12110,1,1,1,1,1,1,1,1
group_12107,1,1,1,1,1,1,1,1
group_12105,1,1,1,1,1,1,1,1
group_12104,1,1,1,1,1,1,1,1
ylqH,1,1,1,1,1,1,1,1
rpiR,1,1,1,1,1,1,1,1
group_12099,1,1,1,1,1,1,1,1
group_12092,1,1,1,1,1,1,1,1
lldA,1,1,1,1,1,1,1,1
ispD,1,1,1,1,1,1,1,1
hflX,1,1,1,1,1,1,1,1
group_12087,1,1,1,1,1,1,1,1
minD,1,1,1,1,1,1,1,1
aruC,1,1,1,1,1,1,1,1
gltB2,1,1,1,1,1,1,1,1
group_12083,1,1,1,1,1,1,1,1
group_12082,1,1,1,1,1,1,1,1
group_12073,1,1,1,1,1,1,1,1
hpaB,1,1,1,1,1,1,1,1
group_12071,1,1,1,1,1,1,1,1
fAU1,1,1,1,1,1,1,1,1
group_12065,1,1,1,1,1,1,1,1
nrdB,1,1,1,1,1,1,1,1
group_12061,1,1,1,1,1,1,1,1
rpoS,1,1,1,1,1,1,1,1
fliF,1,1,1,1,1,1,1,1
yqfA,1,1,1,1,1,1,1,1
group_12057,1,1,1,1,1,1,1,1
trmD,1,1,1,1,1,1,1,1
cysP,1,1,1,1,1,1,1,1
pheS,1,1,1,1,1,1,1,1
nirF,1,1,1,1,1,1,1,1
pilI,1,1,1,1,1,1,1,1
fliA,1,1,1,1,1,1,1,1
hutG2,1,1,1,1,1,1,1,1
ampG,1,1,1,1,1,1,1,1
group_12046,1,1,1,1,1,1,1,1
rsmI,1,1,1,1,1,1,1,1
group_12042,1,1,1,1,1,1,1,1
group_12041,1,1,1,1,1,1,1,1
group_12036,1,1,1,1,1,1,1,1
group_12035,1,1,1,1,1,1,1,1
group_12033,1,1,1,1,1,1,1,1
group_12032,1,1,1,1,1,1,1,1
group_12031,1,1,1,1,1,1,1,1
group_12030,1,1,1,1,1,1,1,1
group_12027,1,1,1,1,1,1,1,1
atpD,1,1,1,1,1,1,1,1
gdhB,1,1,1,1,1,1,1,1
group_12020,1,1,1,1,1,1,1,1
vgrG1b,1,1,1,1,1,1,1,1
group_12019,1,1,1,1,1,1,1,1
group_12018,1,1,1,1,1,1,1,1
alaC,1,1,1,1,1,1,1,1
group_12017,1,1,1,1,1,1,1,1
group_12016,1,1,1,1,1,1,1,1
recA,1,1,1,1,1,1,1,1
group_12014,1,1,1,1,1,1,1,1
group_12013,1,1,1,1,1,1,1,1
proB,1,1,1,1,1,1,1,1
gltP,1,1,1,1,1,1,1,1
hptA,1,1,1,1,1,1,1,1
group_12010,1,1,1,1,1,1,1,1
group_12006,1,1,1,1,1,1,1,1
corC,1,1,1,1,1,1,1,1
phrB,1,1,1,1,1,1,1,1
ccmF,1,1,1,1,1,1,1,1
group_11999,1,1,1,1,1,1,1,1
algQ,1,1,1,1,1,1,1,1
group_11998,1,1,1,1,1,1,1,1
group_11995,1,1,1,1,1,1,1,1
group_11994,1,1,1,1,1,1,1,1
tssC~~~pA2366,1,1,1,1,1,1,1,1
group_11993,1,1,1,1,1,1,1,1
group_11992,1,1,1,1,1,1,1,1
group_11988,1,1,1,1,1,1,1,1
tlpQ,1,1,1,1,1,1,1,1
lpxO2,1,1,1,1,1,1,1,1
group_11984,1,1,1,1,1,1,1,1
calB,1,1,1,1,1,1,1,1
apeB,1,1,1,1,1,1,1,1
group_11982,1,1,1,1,1,1,1,1
uvrC,1,1,1,1,1,1,1,1
flgI,1,1,1,1,1,1,1,1
group_11980,1,1,1,1,1,1,1,1
group_11979,1,1,1,1,1,1,1,1
group_11978,1,1,1,1,1,1,1,1
group_11977,1,1,1,1,1,1,1,1
group_11976,1,1,1,1,1,1,1,1
bifA,1,1,1,1,1,1,1,1
group_11975,1,1,1,1,1,1,1,1
hemW,1,1,1,1,1,1,1,1
group_11969,1,1,1,1,1,1,1,1
benE,1,1,1,1,1,1,1,1
pA1657,1,1,1,1,1,1,1,1
group_11966,1,1,1,1,1,1,1,1
ruvB,1,1,1,1,1,1,1,1
group_11965,1,1,1,1,1,1,1,1
nqrD,1,1,1,1,1,1,1,1
group_11962,1,1,1,1,1,1,1,1
yacG,1,1,1,1,1,1,1,1
group_11959,1,1,1,1,1,1,1,1
group_11957,1,1,1,1,1,1,1,1
mnmA,1,1,1,1,1,1,1,1
group_11953,1,1,1,1,1,1,1,1
fdxH,1,1,1,1,1,1,1,1
mpl,1,1,1,1,1,1,1,1
group_11951,1,1,1,1,1,1,1,1
group_11948,1,1,1,1,1,1,1,1
group_11947,1,1,1,1,1,1,1,1
argJ,1,1,1,1,1,1,1,1
group_11945,1,1,1,1,1,1,1,1
murU,1,1,1,1,1,1,1,1
proA,1,1,1,1,1,1,1,1
parA~~~soj,1,1,1,1,1,1,1,1
group_11942,1,1,1,1,1,1,1,1
group_11940,1,1,1,1,1,1,1,1
group_11938,1,1,1,1,1,1,1,1
group_11937,1,1,1,1,1,1,1,1
group_11935,1,1,1,1,1,1,1,1
group_11934,1,1,1,1,1,1,1,1
group_11929,1,1,1,1,1,1,1,1
parE~~~parE_A473V,1,1,1,1,1,1,1,1
group_11927,1,1,1,1,1,1,1,1
group_11925,1,1,1,1,1,1,1,1
group_11923,1,1,1,1,1,1,1,1
ygjP,1,1,1,1,1,1,1,1
tig,1,1,1,1,1,1,1,1
pcaG,1,1,1,1,1,1,1,1
group_11903,1,1,1,1,1,1,1,1
narH,1,1,1,1,1,1,1,1
amgS,1,1,1,1,1,1,1,1
pvdM,1,1,1,1,1,1,1,1
group_11900,1,1,1,1,1,1,1,1
group_11899,1,1,1,1,1,1,1,1
pA2363,1,1,1,1,1,1,1,1
group_11896,1,1,1,1,1,1,1,1
group_11885,1,1,1,1,1,1,1,1
glnD,1,1,1,1,1,1,1,1
group_11882,1,1,1,1,1,1,1,1
lysP,1,1,1,1,1,1,1,1
group_11878,1,1,1,1,1,1,1,1
group_11877,1,1,1,1,1,1,1,1
group_11870,1,1,1,1,1,1,1,1
group_11868,1,1,1,1,1,1,1,1
group_11867,1,1,1,1,1,1,1,1
group_11863,1,1,1,1,1,1,1,1
relA,1,1,1,1,1,1,1,1
group_11862,1,1,1,1,1,1,1,1
pstA,1,1,1,1,1,1,1,1
ureA,1,1,1,1,1,1,1,1
group_11853,1,1,1,1,1,1,1,1
ftsX,1,1,1,1,1,1,1,1
pA1669,1,1,1,1,1,1,1,1
group_11846,1,1,1,1,1,1,1,1
group_11838,1,1,1,1,1,1,1,1
group_11835,1,1,1,1,1,1,1,1
group_11832,1,1,1,1,1,1,1,1
group_11829,1,1,1,1,1,1,1,1
group_11824,1,1,1,1,1,1,1,1
group_11820,1,1,1,1,1,1,1,1
arcB,1,1,1,1,1,1,1,1
group_11813,1,1,1,1,1,1,1,1
xcpW,1,1,1,1,1,1,1,1
algR,1,1,1,1,1,1,1,1
dnaE,1,1,1,1,1,1,1,1
group_11810,1,1,1,1,1,1,1,1
group_11806,1,1,1,1,1,1,1,1
glpT_T211P,1,1,1,1,1,1,1,1
nahD,1,1,1,1,1,1,1,1
