Gene,Non-unique Gene name,Annotation,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
group_12134,gabP;,GABA permease;Transport permease protein of gamma-aminobutyrate;amino acid permease,PDAIHB_17870,PBCHDC_25240,KMNHBM_25145,BBDLCB_21210,MADGKI_23840,PBCHDC_25240,PNMAHC_00995,FJKPLL_00465
group_12133,lEA,water stress/hypersensitive response domain-containing protein,PDAIHB_17860,PBCHDC_25230,KMNHBM_25135,BBDLCB_21220,MADGKI_23830,PBCHDC_25230,PNMAHC_00985,FJKPLL_00455
group_12127,;mlaF,ATP-binding cassette domain-containing protein;Putative ABC transporter ATP-binding protein YrbF;phospholipid ABC transporter ATP-binding protein MlaF,PDAIHB_14210,PBCHDC_05925,KMNHBM_05785,BBDLCB_16500,MADGKI_04255,PBCHDC_05925,PNMAHC_24250,FJKPLL_22850
group_12126,yajL,protease,PDAIHB_13590,PBCHDC_06545,KMNHBM_05165,BBDLCB_15880,MADGKI_03635,PBCHDC_06545,PNMAHC_23635,FJKPLL_22230
group_12121,fabB,beta-ketoacyl-ACP synthase I,PDAIHB_25050,PBCHDC_13250,KMNHBM_12710,BBDLCB_18050,MADGKI_11930,PBCHDC_13250,PNMAHC_17635,FJKPLL_08110
group_12118,paaI,thioesterase family protein,PDAIHB_00110,PBCHDC_06790,KMNHBM_06790,BBDLCB_03885,MADGKI_09165,PBCHDC_06790,PNMAHC_28960,FJKPLL_27040
xcpS,xcpS,GspF family T2SS innner membrane protein variant XcpS,PDAIHB_05405,PBCHDC_02365,KMNHBM_02365,BBDLCB_03345,MADGKI_05725,PBCHDC_02365,PNMAHC_09835,FJKPLL_15895
djlA,djlA,molecular chaperone DjlA,PDAIHB_11520,PBCHDC_10905,KMNHBM_10900,BBDLCB_21940,MADGKI_14880,PBCHDC_10905,PNMAHC_03565,FJKPLL_02875
cioB,;cioB,Cytochrome bd2 subunit II;Terminal oxidase subunit II;cyanide-insensitive cytochrome bd quinol oxidase subunit II,PDAIHB_06265,PBCHDC_03225,KMNHBM_03225,BBDLCB_10585,MADGKI_00755,PBCHDC_03225,PNMAHC_05650,FJKPLL_20170
cbrA,;cbrA,two-component system sensor histidine kinase CbrA;Histidine kinase,PDAIHB_02855,PBCHDC_09535,KMNHBM_09535,BBDLCB_06620,MADGKI_24285,PBCHDC_09535,PNMAHC_26290,FJKPLL_24315
group_12112,ubiH,2-octaprenyl-3-methyl-6-methoxy-14-benzoquinol hydroxylase,PDAIHB_00245,PBCHDC_06925,KMNHBM_06925,BBDLCB_04020,MADGKI_09300,PBCHDC_06925,PNMAHC_28825,FJKPLL_26905
group_12110,caiA,acyl-CoA dehydrogenase,PDAIHB_16975,PBCHDC_19330,KMNHBM_19605,BBDLCB_00310,MADGKI_08750,PBCHDC_19330,PNMAHC_13005,FJKPLL_12945
group_12107,ubiE,class I SAM-dependent methyltransferase,PDAIHB_06520,PBCHDC_03480,KMNHBM_03480,BBDLCB_10330,MADGKI_01010,PBCHDC_03480,PNMAHC_05875,FJKPLL_19915
group_12105,;ansP,amino acid permease;AA-permease domain-containing protein,PDAIHB_25645,PBCHDC_12795,KMNHBM_14130,BBDLCB_14940,MADGKI_17265,PBCHDC_12795,PNMAHC_22765,FJKPLL_03885
group_12104,,cupin,PDAIHB_03230,PBCHDC_00190,KMNHBM_00190,BBDLCB_01485,MADGKI_07575,PBCHDC_00190,PNMAHC_12010,FJKPLL_14110
ylqH,;ylqH,flagellar biosynthesis protein FlhB,PDAIHB_13255,PBCHDC_16570,KMNHBM_17065,BBDLCB_11250,MADGKI_12385,PBCHDC_16570,PNMAHC_18565,FJKPLL_07415
rpiR,;rpiR,SIS domain-containing protein;Protein HexR;transcriptional regulator,PDAIHB_20655,PBCHDC_18895,KMNHBM_19170,BBDLCB_24175,MADGKI_21075,PBCHDC_18895,PNMAHC_30075,FJKPLL_28010
group_12099,lysR,LysR family transcriptional regulator,PDAIHB_16445,PBCHDC_21395,KMNHBM_20805,BBDLCB_19375,MADGKI_10605,PBCHDC_21395,PNMAHC_16505,FJKPLL_09435
group_12092,,Putative Membrane protein;hypothetical protein,PDAIHB_01760,PBCHDC_08440,KMNHBM_08440,BBDLCB_05535,MADGKI_20075,PBCHDC_08440,PNMAHC_27345,FJKPLL_25395
lldA,;lldA,Mycofactocin system heme/flavin oxidoreductase MftD;L-lactate dehydrogenase;L-lactate dehydrogenase LldA,PDAIHB_22740,PBCHDC_22585,KMNHBM_23390,BBDLCB_23605,MADGKI_23285,PBCHDC_22585,PNMAHC_13880,FJKPLL_12090
ispD,;ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,PDAIHB_07780,PBCHDC_04745,KMNHBM_04745,BBDLCB_09050,MADGKI_02295,PBCHDC_04745,PNMAHC_07225,FJKPLL_18645
hflX,hflX,GTPase HflX,PDAIHB_01700,PBCHDC_08380,KMNHBM_08380,BBDLCB_05475,MADGKI_20015,PBCHDC_08380,PNMAHC_27405,FJKPLL_25455
group_12087,perM,AI-2E family transporter,PDAIHB_09060,PBCHDC_15375,KMNHBM_15600,BBDLCB_13615,MADGKI_18585,PBCHDC_15375,PNMAHC_21125,FJKPLL_05020
minD,;minD,Septum site-determining protein MinD;septum site-determining protein MinD,PDAIHB_22355,PBCHDC_13800,KMNHBM_13640,BBDLCB_07100,MADGKI_22695,PBCHDC_13800,PNMAHC_09070,FJKPLL_16615
aruC,aruC,Succinylornithine transaminase/acetylornithine aminotransferase,PDAIHB_09600,PBCHDC_14840,KMNHBM_15060,BBDLCB_14410,MADGKI_17795,PBCHDC_14840,PNMAHC_22225,FJKPLL_04435
gltB2,gltB2,FMN-binding glutamate synthase family protein,PDAIHB_07940,PBCHDC_04905,KMNHBM_04905,BBDLCB_08890,MADGKI_02455,PBCHDC_04905,PNMAHC_07385,FJKPLL_18485
group_12083,;spoT,hypothetical protein;bifunctional GTP diphosphokinase/guanosine-3'5'-bis pyrophosphate 3'-pyrophosphohydrolase,PDAIHB_26195,PBCHDC_23030,KMNHBM_24190,BBDLCB_25205,MADGKI_24780,PBCHDC_23030,PNMAHC_29540,FJKPLL_27500
group_12082,sufI,copper oxidase,PDAIHB_07095,PBCHDC_04055,KMNHBM_04055,BBDLCB_09740,MADGKI_01605,PBCHDC_04055,PNMAHC_06475,FJKPLL_19335
